Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1992","1992","1000 ha","8800","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1993","1993","1000 ha","8900","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1994","1994","1000 ha","8900","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1995","1995","1000 ha","8900","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1996","1996","1000 ha","9000","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1997","1997","1000 ha","8908","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1998","1998","1000 ha","8725","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","1999","1999","1000 ha","8700","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2000","2000","1000 ha","8600","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2001","2001","1000 ha","8530","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2002","2002","1000 ha","8600","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2003","2003","1000 ha","8540","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2004","2004","1000 ha","9097.1","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2005","2005","1000 ha","9654.2","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2006","2006","1000 ha","10211.3","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2007","2007","1000 ha","10768.4","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6621","Arable land","2008","2008","1000 ha","11325.7","I","Value imputed by a receiving agency",""
