Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1994","1994","t","3600","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1995","1995","t","5000","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1996","1996","t","4039","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1997","1997","t","6737","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1998","1998","t","5615","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1999","1999","t","2211","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2000","2000","t","2295","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2001","2001","t","330","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2002","2002","t","4345","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2003","2003","t","5070","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2004","2004","t","6053","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2005","2005","t","5463","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2006","2006","t","1583","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2007","2007","t","276","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2008","2008","t","276","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2009","2009","t","4640","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2010","2010","t","8196","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2011","2011","t","9205","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2012","2012","t","8009","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2013","2013","t","15456","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2014","2014","t","9114","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2015","2015","t","10661","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2016","2016","t","7953","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","t","11038","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","t","15038","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","t","11580","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","t","17737","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2021","2021","t","22291","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2022","2022","t","24648","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2023","2023","t","16789","I","Value imputed by a receiving agency",""
