holding_id,sec16_otherproducts__id,s16q02a,s16q02b,s16q03,s16q03_unit,s16q04,s16q05,s16q06d,s16q06e
00-93-59-06,Animal dung from ruminants and poultry,,,,,No,,,
00-93-69-50,Animal dung from ruminants and poultry,,,,,No,,,
00-93-73-63,Animal dung from ruminants and poultry,,,,,No,,,
00-93-83-26,Animal dung from ruminants and poultry,,,,,No,,,
00-93-97-20,Animal dung from ruminants and poultry,,,,,No,,,
00-94-14-81,Animal dung from ruminants and poultry,,,,,No,,,
00-94-16-93,Animal dung from ruminants and poultry,,,,,No,,,
00-94-27-42,Animal dung from ruminants and poultry,,,,,No,,,
00-94-51-97,Animal dung from ruminants and poultry,,,,,No,,,
00-94-81-91,Animal dung from ruminants and poultry,,,,,No,,,
00-95-12-55,Animal dung from ruminants and poultry,,,,,No,,,
00-95-29-61,Animal dung from ruminants and poultry,,,,,No,,,
00-95-30-87,Animal dung from ruminants and poultry,,,,,No,,,
00-95-65-97,Animal dung from ruminants and poultry,,,,,No,,,
00-95-75-67,Animal dung from ruminants and poultry,,,,,No,,,
00-96-06-73,Animal dung from ruminants and poultry,,,,,No,,,
00-96-20-42,Animal dung from ruminants and poultry,,,,,No,,,
00-96-79-26,Animal dung from ruminants and poultry,,,,,No,,,
00-96-89-55,Animal dung from ruminants and poultry,,,,,No,,,
00-96-89-86,Animal dung from ruminants and poultry,,,,,No,,,
00-97-74-91,Animal dung from ruminants and poultry,,,,,No,,,
00-98-16-19,Animal dung from ruminants and poultry,,,,,No,,,
00-98-59-62,Animal dung from ruminants and poultry,,,,,No,,,
00-98-89-68,Animal dung from ruminants and poultry,,,,,No,,,
00-99-58-76,Animal dung from ruminants and poultry,,,,,No,,,
00-99-63-79,Animal dung from ruminants and poultry,,,,,No,,,
00-99-95-91,Animal dung from ruminants and poultry,,,,,No,,,
00-99-99-00,Animal dung from ruminants and poultry,,,,,No,,,
00-99-99-69,Animal dung from ruminants and poultry,,,,,No,,,
01-00-15-17,Animal dung from ruminants and poultry,,,,,No,,,
01-00-40-63,Animal dung from ruminants and poultry,,,,,No,,,
01-00-78-14,Animal dung from ruminants and poultry,,,,,No,,,
01-01-36-34,Animal dung from ruminants and poultry,,,,,No,,,
01-01-82-40,Animal dung from ruminants and poultry,,,,,No,,,
