holding_id,FIELD__id,s3q03,s3q04a_hectares
00-26-91-28,1,Granted right of occupancy,22
00-26-94-02,1,Inherited,0
00-26-95-96,1,Granted right of occupancy,0
00-27-32-77,1,Rented or leased in,0
00-27-59-16,1,Rented or leased in,8
00-27-59-16,2,Rented or leased in,0
00-27-65-36,1,Customary right of occupancy,0
00-27-68-19,1,Customary right of occupancy,0
00-27-68-19,2,Customary right of occupancy,0
00-27-68-61,1,Inherited,0
00-27-75-07,1,Inherited,0
00-27-89-89,1,Rented or leased in,0
00-27-89-89,2,Rented or leased in,1
00-28-27-64,1,Inherited,2
00-28-52-61,1,Inherited,1
00-28-55-82,1,Customary right of occupancy,0
00-28-57-46,1,Customary right of occupancy,1
00-28-59-39,1,Customary right of occupancy,1
00-28-66-32,1,Rented or leased in,1
00-28-76-23,1,Inherited,1
00-28-76-63,1,Customary right of occupancy,1
00-28-80-31,1,Inherited,0
00-28-80-31,2,Inherited,1
00-28-82-84,1,Customary right of occupancy,0
00-28-82-84,2,Customary right of occupancy,1
00-28-82-84,3,Customary right of occupancy,0
00-29-05-73,1,Rented or leased in,0
00-29-09-32,1,Inherited,1
00-29-22-22,1,Purchased,5
00-29-39-81,1,Rented or leased in,1
00-29-73-51,1,Borrowed for free,0
00-29-77-77,1,,0
00-29-86-15,1,Customary right of occupancy,0
00-29-86-15,2,Inherited,0
00-29-88-01,1,Customary right of occupancy,0
00-29-99-22,1,Customary right of occupancy,0
00-29-99-22,2,Customary right of occupancy,0
00-30-06-91,1,Borrowed for free,0
00-30-06-91,2,Borrowed for free,1
00-30-27-80,1,Customary right of occupancy,0
00-30-30-56,1,Purchased,0
00-30-30-56,2,Purchased,0
00-30-39-37,1,Purchased,1
00-30-70-01,1,Inherited,1
00-30-86-72,1,,10
00-30-95-03,1,Purchased,0
00-30-95-03,2,Purchased,0
00-31-04-97,1,Customary right of occupancy,0
00-31-26-41,1,Granted right of occupancy,1
00-31-26-41,2,Granted right of occupancy,0
00-31-48-93,1,Customary right of occupancy,1
00-31-58-92,1,Customary right of occupancy,0
00-31-72-15,1,Borrowed for free,0
00-31-79-08,1,Purchased,0
00-31-81-38,1,Inherited,4
00-31-83-65,1,Inherited,1
00-31-83-65,2,Purchased,0
00-31-84-61,1,Borrowed for free,1
00-31-84-61,2,Borrowed for free,0
00-31-93-40,1,Inherited,1
00-32-03-31,1,Customary right of occupancy,3
00-32-05-58,1,Customary right of occupancy,0
00-32-05-58,2,Customary right of occupancy,0
00-32-06-28,1,Rented or leased in,0
00-32-33-96,1,Customary right of occupancy,1
00-32-34-82,1,Inherited,1
00-32-39-31,1,Granted right of occupancy,1
00-32-75-65,1,Customary right of occupancy,2
00-32-86-31,1,Rented or leased in,1
00-33-00-19,1,Customary right of occupancy,0
00-33-21-92,1,Borrowed for free,0
00-33-21-92,2,Borrowed for free,0
00-33-29-75,1,Customary right of occupancy,4
00-33-30-02,1,Purchased,8
00-33-30-02,2,Purchased,6
00-33-38-75,1,Customary right of occupancy,1
00-33-38-75,2,Customary right of occupancy,4
00-33-54-34,1,Inherited,1
00-33-56-97,1,Inherited,1
00-33-79-01,1,Inherited,0
00-33-79-01,2,Inherited,0
00-33-79-43,1,Inherited,0
00-33-84-00,1,Inherited,0
00-34-07-96,1,Purchased,3
00-34-07-96,2,Rented or leased in,2
00-34-23-62,1,Inherited,0
00-34-23-62,2,Inherited,1
00-34-30-26,1,Customary right of occupancy,0
00-34-30-26,2,Customary right of occupancy,0
00-34-41-83,1,Customary right of occupancy,2
00-34-43-51,1,Customary right of occupancy,4
00-34-49-12,1,Purchased,1
00-34-49-12,2,Purchased,0
00-34-49-85,1,Purchased,2
00-34-49-85,2,Purchased,2
00-34-49-85,3,Purchased,2
00-34-49-85,4,Purchased,1
00-34-50-85,1,Purchased,3
00-34-51-57,1,Inherited,1
00-34-77-41,1,Purchased,20
00-34-88-21,1,Customary right of occupancy,0
00-34-93-40,1,Customary right of occupancy,1
00-34-94-50,1,Inherited,4
00-34-95-99,1,Customary right of occupancy,1
00-34-95-99,2,Customary right of occupancy,0
00-34-95-99,3,Customary right of occupancy,0
00-35-31-36,1,Purchased,1
00-35-31-36,2,Purchased,0
00-35-34-55,1,Inherited,0
00-35-34-55,2,Rented or leased in,1
00-35-34-55,3,Inherited,0
00-35-42-16,1,Customary right of occupancy,1
00-35-42-16,2,Customary right of occupancy,0
00-35-52-12,1,Purchased,1
00-35-52-23,1,Inherited,0
00-35-52-23,2,Inherited,0
00-35-52-23,3,Borrowed for free,0
00-35-52-23,4,Borrowed for free,0
00-35-52-23,5,Inherited,0
00-35-52-23,6,Borrowed for free,0
00-35-52-23,7,Inherited,0
00-35-70-98,1,Inherited,1
00-35-74-11,1,Purchased,0
00-35-75-32,1,Inherited,2
00-35-93-25,1,Purchased,2
00-35-95-17,1,Inherited,0
00-36-26-87,1,Customary right of occupancy,0
00-36-29-19,2,Borrowed for free,0
00-36-29-19,3,Borrowed for free,0
00-36-29-19,4,Borrowed for free,0
00-36-29-19,5,Borrowed for free,0
00-36-29-19,6,Rented or leased in,1
00-36-34-75,1,Customary right of occupancy,2
00-36-55-81,1,Inherited,1
00-36-71-86,1,Purchased,13
00-36-71-86,2,Purchased,8
00-36-71-86,3,Purchased,18
00-36-71-86,4,Purchased,12
00-36-71-86,5,Purchased,6
00-36-71-86,6,Purchased,40
00-36-71-86,7,Purchased,0
00-36-71-86,8,Purchased,2
00-36-74-41,1,Rented or leased in,0
00-36-74-41,2,Purchased,0
00-36-80-66,1,Rented or leased in,4
00-36-87-20,1,Purchased,0
00-37-33-27,1,Customary right of occupancy,1
00-37-47-09,1,Borrowed for free,0
00-37-49-70,1,Customary right of occupancy,1
00-37-49-70,2,Customary right of occupancy,0
00-37-52-55,1,Rented or leased in,0
00-37-62-09,1,Granted right of occupancy,0
00-37-62-90,1,Granted right of occupancy,1
00-37-63-40,1,Inherited,0
00-37-80-72,1,Inherited,2
00-37-93-86,1,Inherited,0
00-37-97-27,1,Customary right of occupancy,0
00-38-17-19,1,Inherited,11
00-38-24-67,1,Customary right of occupancy,0
00-38-32-32,1,Inherited,0
00-38-42-38,1,Customary right of occupancy,1
00-38-55-14,2,Borrowed for free,0
00-38-63-02,1,Inherited,0
00-38-63-02,2,Purchased,0
00-38-63-21,1,Inherited,1
00-38-65-85,1,Granted right of occupancy,2
00-38-65-85,2,Inherited,1
00-38-74-07,1,Purchased,0
00-38-74-07,2,Inherited,0
00-38-88-74,1,Customary right of occupancy,1
00-38-97-86,1,Purchased,0
00-38-97-86,2,Granted right of occupancy,0
00-38-98-64,1,Granted right of occupancy,0
00-38-99-68,1,Customary right of occupancy,0
00-38-99-68,2,Customary right of occupancy,0
00-39-08-46,1,Rented or leased in,1
00-39-08-46,2,Rented or leased in,0
00-39-15-08,1,Customary right of occupancy,0
00-39-22-77,1,Purchased,2
00-39-22-77,2,Purchased,1
00-39-23-77,1,Purchased,1
00-39-47-14,1,Customary right of occupancy,0
00-39-56-95,1,Inherited,1
00-39-70-51,1,Customary right of occupancy,1
00-39-75-19,1,Customary right of occupancy,1
00-39-96-82,1,Rented or leased in,1
00-40-20-27,1,Granted right of occupancy,4
00-40-20-27,2,Granted right of occupancy,1
00-40-20-27,3,Granted right of occupancy,1
00-40-20-27,4,Granted right of occupancy,2
00-40-20-27,5,Granted right of occupancy,1
00-40-20-27,6,Granted right of occupancy,1
00-40-26-35,1,Customary right of occupancy,2
00-40-34-66,1,Purchased,1
00-40-39-73,1,Inherited,0
00-40-39-73,2,Inherited,0
00-40-49-84,1,Customary right of occupancy,0
00-40-58-80,1,Inherited,0
00-40-58-80,2,Borrowed for free,1
00-40-58-80,3,Inherited,0
00-40-64-16,1,Customary right of occupancy,2
00-40-70-71,1,Granted right of occupancy,12
00-40-86-65,1,Inherited,0
00-40-86-65,2,Purchased,1
00-40-94-89,1,Borrowed for free,2
00-40-95-93,1,Inherited,1
00-40-95-93,2,Purchased,1
00-40-99-82,1,Customary right of occupancy,0
00-41-09-46,1,Granted right of occupancy,0
00-41-29-76,1,Rented or leased in,0
00-41-29-76,2,Inherited,0
00-41-32-57,1,Customary right of occupancy,2
00-41-32-57,2,Customary right of occupancy,0
00-41-32-57,3,Customary right of occupancy,2
00-41-53-38,1,Customary right of occupancy,1
00-41-58-03,1,Purchased,2
00-41-60-91,1,Granted right of occupancy,2
00-41-61-15,1,Borrowed for free,1
00-41-62-07,1,Rented or leased in,1
00-41-62-61,1,Purchased,2
00-42-05-97,1,Rented or leased in,0
00-42-06-61,1,Customary right of occupancy,0
00-42-06-61,2,Customary right of occupancy,1
00-42-06-61,3,Customary right of occupancy,1
00-42-07-83,1,Customary right of occupancy,0
00-42-13-86,1,Purchased,0
00-42-25-46,1,Rented or leased in,2
00-42-28-09,1,Borrowed for free,0
00-42-28-09,2,Borrowed for free,0
00-42-39-78,1,Customary right of occupancy,2
00-42-46-02,1,Customary right of occupancy,0
00-42-75-37,1,Purchased,0
00-42-75-37,2,Purchased,0
00-42-76-25,1,Inherited,1
00-42-76-25,2,Borrowed for free,0
00-42-80-39,1,Rented or leased in,1
00-43-03-00,1,Customary right of occupancy,1
00-43-06-41,1,Customary right of occupancy,0
00-43-06-41,2,Customary right of occupancy,0
00-43-18-62,1,Rented or leased in,0
00-43-18-62,2,Rented or leased in,0
00-43-18-62,3,Rented or leased in,1
00-43-53-72,1,Purchased,16
00-43-64-57,1,Inherited,2
00-43-69-75,1,Inherited,1
00-43-69-75,2,Inherited,1
00-43-74-27,1,Customary right of occupancy,1
00-44-01-94,1,Purchased,2
00-44-01-94,2,Purchased,1
00-44-12-41,1,Inherited,0
00-44-22-60,1,Customary right of occupancy,1
00-44-35-91,1,Customary right of occupancy,1
00-44-38-94,1,Inherited,0
00-44-60-77,1,Rented or leased in,0
00-44-71-96,1,Customary right of occupancy,1
00-44-71-96,2,Granted right of occupancy,0
00-44-81-47,1,Inherited,0
00-44-81-47,2,Inherited,1
00-45-00-31,1,Borrowed for free,0
00-45-02-30,1,Purchased,0
00-45-13-27,1,Customary right of occupancy,0
00-45-13-27,2,Inherited,2
00-45-29-06,1,Borrowed for free,0
00-45-30-15,1,Inherited,1
00-45-43-51,1,Inherited,1
00-45-45-77,1,Inherited,1
00-45-45-77,2,Inherited,1
00-45-46-17,1,Customary right of occupancy,3
00-45-46-17,2,Purchased,1
00-45-48-51,1,Rented or leased in,1
00-45-65-40,1,Purchased,0
00-45-77-56,1,Customary right of occupancy,1
00-45-77-75,1,Rented or leased in,1
00-45-77-75,2,Rented or leased in,1
00-45-93-05,1,Purchased,1
00-46-01-19,1,Borrowed for free,0
00-46-01-19,2,Borrowed for free,0
00-46-01-19,3,Borrowed for free,0
00-46-01-19,4,Borrowed for free,0
00-46-06-72,1,Purchased,1
00-46-06-72,2,Purchased,1
00-46-06-72,3,Rented or leased in,0
00-46-21-34,1,Inherited,2
00-46-30-29,1,Inherited,1
00-46-30-81,2,Customary right of occupancy,0
00-46-38-89,1,Purchased,2
00-46-54-83,1,Customary right of occupancy,1
00-46-54-83,2,Customary right of occupancy,0
00-46-68-29,1,Granted right of occupancy,4
00-46-68-29,2,Purchased,1
00-46-79-64,1,Customary right of occupancy,1
00-46-86-44,1,Purchased,0
00-46-93-76,1,Inherited,0
00-46-93-76,2,Inherited,0
00-46-93-76,3,Inherited,0
00-47-20-62,1,Rented or leased in,0
00-47-35-53,1,Purchased,0
00-47-35-53,2,Inherited,1
00-47-64-24,1,Rented or leased in,0
00-47-71-24,1,,2
00-48-02-94,1,Customary right of occupancy,4
00-48-30-66,1,Customary right of occupancy,4
00-48-37-08,1,Purchased,3
00-48-37-08,2,Purchased,2
00-48-41-07,1,Customary right of occupancy,1
00-48-41-07,2,Borrowed for free,1
00-48-52-57,1,Customary right of occupancy,0
00-48-52-57,2,Inherited,0
00-48-52-57,3,Inherited,1
00-48-52-57,4,Inherited,1
00-48-52-57,5,Inherited,2
00-48-52-57,6,Inherited,1
00-48-57-41,1,Borrowed for free,0
00-48-57-41,2,Granted right of occupancy,0
00-48-60-21,1,Rented or leased in,0
00-48-60-64,1,Customary right of occupancy,0
