holding_id,holding_type,mainland_zanzibar,region,stratum_id,ea_id,weight,s2q10__1,s2q10__2,s2q10__3,s2q10__4,s2q10__5,s2q10__6,s2q10__7,s20q08,s20q09
58-76-31-71,Household,"Mainland, Tanzania",Dar es Salaam,153,7282,361,No,No,No,No,No,No,Yes,,
58-76-70-74,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,,
58-77-25-98,Household,Zanzibar,Mjini Magharibi,500,2539,110,No,No,No,No,No,No,Yes,,
58-78-61-20,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-83-66-79,Household,"Mainland, Tanzania",Manyara,471,5595,422,No,No,No,No,No,No,Yes,No,
58-85-34-76,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-85-49-51,Household,"Mainland, Tanzania",Lindi,388,9263,1195,No,No,No,No,No,No,Yes,,
58-86-15-88,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-87-46-42,Household,"Mainland, Tanzania",Iringa,739,4954,258,Yes,No,Yes,No,No,No,No,No,
58-89-55-40,Household,"Mainland, Tanzania",Dar es Salaam,102,3082,388,No,No,No,No,No,No,Yes,,
58-92-09-60,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-95-55-28,Household,"Mainland, Tanzania",Iringa,739,7846,349,No,No,No,No,No,No,Yes,No,
58-96-32-28,Household,Zanzibar,Kusini Unguja,314,7334,82,No,No,No,No,No,No,Yes,No,
59-00-80-88,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,,
59-01-66-38,Household,"Mainland, Tanzania",Kilimanjaro,170,3272,424,No,No,No,No,No,No,Yes,No,
59-03-48-95,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-03-50-10,Household,"Mainland, Tanzania",Simiyu,563,4216,376,No,No,No,No,No,No,Yes,No,
59-04-73-50,Household,"Mainland, Tanzania",Dar es Salaam,153,8322,1054,No,No,No,No,No,No,Yes,,
59-06-12-80,Household,"Mainland, Tanzania",Morogoro,872,2887,843,No,No,No,No,No,No,Yes,No,
59-10-95-01,Household,"Mainland, Tanzania",Iringa,739,6132,287,No,No,No,No,No,No,Yes,No,
59-11-16-29,Household,"Mainland, Tanzania",Lindi,271,8830,738,No,No,No,No,No,No,Yes,,
59-13-08-59,Household,"Mainland, Tanzania",Mwanza,114,4339,216,No,No,No,No,No,No,Yes,No,
59-20-30-25,Household,"Mainland, Tanzania",Manyara,947,3586,291,No,No,No,No,No,No,Yes,,
